D,L,R,Clocks,ClocksPerAccess
2,10240,81913,5572468,6.8029104049
2,15360,122873,8377360,6.8179014104
2,40960,327673,22354958,6.8223375133
2,81920,655353,44753562,6.8289245643
2,163840,1310713,89405482,6.8211333831
4,384,1533,104170,6.7951728637
4,1152,4605,313848,6.8153745928
4,10240,40957,2798390,6.8325072637
4,15360,61437,4207100,6.8478278562
4,40960,163837,11235478,6.8577171213
4,81920,327677,22468180,6.8568071607
4,163840,655357,44888864,6.8495284250
8,384,767,52210,6.8070404172
8,1152,2303,158422,6.8789405124
8,10240,20479,1407628,6.8735192148
8,15360,30719,2118760,6.8972297275
8,40960,81919,5677952,6.9311783591
8,81920,163839,11334320,6.9179621458
8,163840,327679,22644110,6.9104550490
32,384,384,27026,7.0380208333
32,1152,1152,83108,7.2142361111
32,10240,10240,783090,7.6473632812
32,15360,15360,1178772,7.6742968750
32,40960,40960,3927230,9.5879638672
32,81920,81920,8117474,9.9090258789
32,163840,163840,17000354,10.3761926270
1,384,6129,415932,6.7862946647
1,1152,18417,1249410,6.7840039094
1,10240,163825,11147490,6.8045109110
1,15360,245745,16726674,6.8065165110
1,40960,655345,44645904,6.8125802440
1,81920,1310705,89236278,6.8082656280
1,163840,2621425,178516810,6.8099148364
2,384,3065,207970,6.7853181077
2,1152,9209,626992,6.8084699750
2,10240,81913,5580548,6.8127745291
2,15360,122873,8372570,6.8140030763
2,40960,327673,22378546,6.8295361534
2,81920,655353,44772076,6.8317496067
2,163840,1310713,89425282,6.8226440113
4,384,1533,104220,6.7984344423
4,1152,4605,314066,6.8201085776
4,10240,40957,2800542,6.8377615548
4,15360,61437,4201748,6.8391164933
4,40960,163837,11216386,6.8460640759
4,81920,327677,22447816,6.8505925042
4,163840,655357,44856956,6.8446596283
8,384,767,52288,6.8172099087
8,1152,2303,158778,6.8943986105
8,10240,20479,1413006,6.8997802627
8,15360,30719,2118632,6.8968130473
8,40960,81919,5663548,6.9135951367
8,81920,163839,11333350,6.9173701011
8,163840,327679,22638352,6.9086978415
32,384,384,26998,7.0307291667
32,1152,1152,82894,7.1956597222
32,10240,10240,790650,7.7211914062
32,15360,15360,1382338,8.9995963542
32,40960,40960,3156978,7.7074658203
32,81920,81920,7653952,9.3432031250
32,163840,163840,17461744,10.6578027344
1,384,6129,415406,6.7777125143
1,1152,18417,1258850,6.8352609003
1,10240,163825,11159292,6.8117149397
1,15360,245745,16740616,6.8121898716
1,40960,655345,44644580,6.8123782130
1,81920,1310705,89235154,6.8081798727
1,163840,2621425,178477740,6.8084244256
2,384,3065,208064,6.7883849918
2,1152,9209,636456,6.9112390053
2,10240,81913,5588180,6.8220917315
2,15360,122873,8381452,6.8212316782
2,40960,327673,22378542,6.8295349327
2,81920,655353,44727694,6.8249773786
2,163840,1310713,89426058,6.8227032157
4,384,1533,104116,6.7916503588
4,1152,4605,314682,6.8334853420
4,10240,40957,2798024,6.8316136436
4,15360,61437,4202392,6.8401647216
4,40960,163837,11240914,6.8610350531
4,81920,327677,22444496,6.8495793113
4,163840,655357,44907084,6.8523085891
8,384,767,52144,6.7984354628
8,1152,2303,158642,6.8884932696
8,10240,20479,1412770,6.8986278627
8,15360,30719,2117828,6.8941957746
8,40960,81919,5679476,6.9330387334
8,81920,163839,11319428,6.9088727348
8,163840,327679,22658688,6.9149039151
32,384,384,27090,7.0546875000
32,1152,1152,83046,7.2088541667
32,10240,10240,779838,7.6156054688
32,15360,15360,1221384,7.9517187500
32,40960,40960,3822988,9.3334667969
32,81920,81920,8123556,9.9164501953
32,163840,163840,14953250,9.1267395020
1,384,6129,415576,6.7804862131
1,1152,18417,1249530,6.7846554813
1,10240,163825,11146986,6.8042032657
1,15360,245745,16730354,6.8080139983
1,40960,655345,44645658,6.8125427065
1,81920,1310705,89273300,6.8110902148
1,163840,2621425,178440844,6.8070169469
2,384,3065,207950,6.7846655791
2,1152,9209,626296,6.8009121512
2,10240,81913,5584864,6.8180435340
2,15360,122873,8376054,6.8168385243
2,40960,327673,22360558,6.8240465342
2,81920,655353,44730138,6.8253503074
2,163840,1310713,89371284,6.8185242689
4,384,1533,104302,6.8037834312
4,1152,4605,314506,6.8296634093
4,10240,40957,2801614,6.8403789340
4,15360,61437,4203710,6.8423100086
4,40960,163837,11256960,6.8708289336
4,81920,327677,22463916,6.8555058793
4,163840,655357,44880170,6.8482018198
8,384,767,52138,6.7976531943
8,1152,2303,158376,6.8769431177
8,10240,20479,1407942,6.8750524928
8,15360,30719,2121160,6.9050424819
8,40960,81919,5700226,6.9583686324
8,81920,163839,11342914,6.9232075391
8,163840,327679,22646756,6.9112625466
32,384,384,27042,7.0421875000
32,1152,1152,82722,7.1807291667
32,10240,10240,796988,7.7830859375
32,15360,15360,1371014,8.9258723958
32,40960,40960,3241532,7.9138964844
32,81920,81920,8074258,9.8562719727
32,163840,163840,16922732,10.3288159180
1,384,6129,415850,6.7849567629
1,1152,18417,1251170,6.7935602976
1,10240,163825,11145820,6.8034915306
1,15360,245745,16745742,6.8142757737
1,40960,655345,44655342,6.8140204015
1,81920,1310705,89270558,6.8108810144
1,163840,2621425,178476516,6.8083777335
2,384,3065,207952,6.7847308320
2,1152,9209,636064,6.9069822999
2,10240,81913,5581662,6.8141345086
2,15360,122873,8379192,6.8193923808
2,40960,327673,22386648,6.8320087404
2,81920,655353,44727166,6.8248968113
2,163840,1310713,89409256,6.8214213180
4,384,1533,104326,6.8053489889
4,1152,4605,314108,6.8210206298
4,10240,40957,2802298,6.8420489782
4,15360,61437,4216344,6.8628741638
4,40960,163837,11219762,6.8481246605
4,81920,327677,22663530,6.9164237954
4,163840,655357,44884224,6.8488204139
8,384,767,52386,6.8299869622
8,1152,2303,158456,6.8804168476
8,10240,20479,1412712,6.8983446457
8,15360,30719,2127264,6.9249129203
8,40960,81919,5677492,6.9306168288
8,81920,163839,11320256,6.9093781090
8,163840,327679,22627836,6.9054886032
32,384,384,27168,7.0750000000
32,1152,1152,82994,7.2043402778
32,10240,10240,756146,7.3842382813
32,15360,15360,1361956,8.8669010417
32,40960,40960,3178310,7.7595458984
32,81920,81920,6476420,7.9057861328
32,163840,163840,16758930,10.2288391113
1,384,6129,415808,6.7842714962
1,1152,18417,1249330,6.7835695282
1,10240,163825,11164386,6.8148243553
1,15360,245745,16759636,6.8199296018
1,40960,655345,44635822,6.8110418177
1,81920,1310705,89227706,6.8076116289
1,163840,2621425,178521078,6.8100776486
2,384,3065,207886,6.7825774878
2,1152,9209,626908,6.8075578239
2,10240,81913,5585764,6.8191422607
2,15360,122873,8376988,6.8175986588
2,40960,327673,22354836,6.8223002811
2,81920,655353,44738394,6.8266100865
2,163840,1310713,89477864,6.8266557210
4,384,1533,104318,6.8048271363
4,1152,4605,314348,6.8262323561
4,10240,40957,2799892,6.8361745245
4,15360,61437,4206028,6.8460829793
4,40960,163837,11213332,6.8442000281
4,81920,327677,22427414,6.8443662509
4,163840,655357,44897968,6.8509175915
8,384,767,52220,6.8083441982
8,1152,2303,158194,6.8690403821
8,10240,20479,1414668,6.9078958934
8,15360,30719,2128300,6.9282854260
8,40960,81919,5667742,6.9187148281
8,81920,163839,11329632,6.9151008002
8,163840,327679,22636620,6.9081692754
32,384,384,27174,7.0765625000
32,1152,1152,82864,7.1930555556
32,10240,10240,804964,7.8609765625
32,15360,15360,1206668,7.8559114583
32,40960,40960,3813934,9.3113623047
32,81920,81920,7636550,9.3219604492
32,163840,163840,17555654,10.7151208496
