D,L,R,Clocks,ClocksPerAccess
8,10240,10240,748782,7.3123242187
8,15360,15360,1112886,7.2453515625
8,40960,40960,3024116,7.3830957031
8,81920,81920,6038130,7.3707641602
8,163840,163840,11992554,7.3196740723
32,384,384,27864,7.2562500000
32,1152,1152,83666,7.2626736111
32,10240,10240,788494,7.7001367187
32,15360,15360,1198700,7.8040364583
32,40960,40960,3378134,8.2473974609
32,81920,81920,8638306,10.5448071289
32,163840,163840,27695968,16.9042773437
128,384,384,28082,7.3130208333
128,1152,1152,88346,7.6689236111
128,10240,10240,914122,8.9269726562
128,15360,15360,1235388,8.0428906250
128,40960,40960,6894684,16.8327246094
128,81920,81920,14486038,17.6831518555
128,163840,163840,30444392,18.5817822266
1024,384,384,62680,16.3229166667
1024,1152,1152,112440,9.7604166667
1024,10240,10240,2302804,22.4883203125
1024,15360,15360,3602148,23.4514843750
1024,40960,40960,9773576,23.8612695312
1024,81920,81920,19947734,24.3502612305
1024,163840,163840,39571158,24.1523181152
1,384,3065,219218,7.1523001631
1,1152,9209,659800,7.1647301553
1,10240,81913,5883016,7.1820297145
1,15360,122873,8822120,7.1798686449
1,40960,327673,23629208,7.2112160599
1,81920,655353,47323896,7.2211305968
1,163840,1310713,94352770,7.1985835190
8,384,384,27358,7.1244791667
8,1152,1152,83558,7.2532986111
8,10240,10240,744084,7.2664453125
8,15360,15360,1118858,7.2842317708
8,40960,40960,2999522,7.3230517578
8,81920,81920,6020684,7.3494677734
8,163840,163840,11973720,7.3081787109
32,384,384,27792,7.2375000000
32,1152,1152,83684,7.2642361111
32,10240,10240,845586,8.2576757813
32,15360,15360,1195176,7.7810937500
32,40960,40960,3430238,8.3746044922
32,81920,81920,8531922,10.4149438477
32,163840,163840,27775756,16.9529760742
128,384,384,28418,7.4005208333
128,1152,1152,90940,7.8940972222
128,10240,10240,931752,9.0991406250
128,15360,15360,1270046,8.2685286458
128,40960,40960,6966718,17.0085888672
128,81920,81920,14629268,17.8579931641
128,163840,163840,29837560,18.2114013672
1024,384,384,69940,18.2135416667
1024,1152,1152,108346,9.4050347222
1024,10240,10240,2382580,23.2673828125
1024,15360,15360,3614216,23.5300520833
1024,40960,40960,9861648,24.0762890625
1024,81920,81920,19928194,24.3264086914
1024,163840,163840,39277676,23.9731909180
1,384,3065,219332,7.1560195759
1,1152,9209,659826,7.1650124878
1,10240,81913,5879134,7.1772905400
1,15360,122873,8830408,7.1866138208
1,40960,327673,23599276,7.2020813433
1,81920,655353,47211640,7.2040015076
1,163840,1310713,94279400,7.1929858024
8,384,384,27322,7.1151041667
8,1152,1152,83248,7.2263888889
8,10240,10240,744316,7.2687109375
8,15360,15360,1123680,7.3156250000
8,40960,40960,3040730,7.4236572266
