D,L,R,Clocks,ClocksPerAccess
32,40960,40960,3359752,8.2025195312
32,81920,81920,8617598,10.5195288086
32,163840,163840,27672136,16.8897314453
1,384,3065,219238,7.1529526917
1,1152,9209,659840,7.1651645130
1,10240,81913,5886066,7.1857531772
1,15360,122873,8821284,7.1791882676
1,40960,327673,23572634,7.1939506764
1,81920,655353,47173362,7.1981606859
1,163840,1310713,94268816,7.1921783030
2,384,1533,109648,7.1525114155
2,1152,4605,330704,7.1814115092
2,10240,40957,2959338,7.2254754987
2,15360,61437,4424826,7.2022169051
2,40960,163837,11843660,7.2289287524
2,81920,327677,23653694,7.2186006342
2,163840,655357,47235564,7.2076080671
4,384,767,54900,7.1577574967
4,1152,2303,165794,7.1990447243
4,10240,20479,1481810,7.2357536989
4,15360,30719,2224774,7.2423386178
4,40960,81919,5933956,7.2436870567
4,81920,163839,11855748,7.2362184828
4,163840,327679,23714530,7.2371223057
8,384,384,27362,7.1255208333
8,1152,1152,83384,7.2381944444
8,10240,10240,741424,7.2404687500
8,15360,15360,1123742,7.3160286458
8,40960,40960,3029606,7.3964990234
8,81920,81920,6040266,7.3733715820
8,163840,163840,12009780,7.3301879883
32,384,384,27740,7.2239583333
32,1152,1152,83752,7.2701388889
32,10240,10240,841568,8.2184375000
32,15360,15360,1268600,8.2591145833
32,40960,40960,3211660,7.8409667969
32,81920,81920,7823400,9.5500488281
32,163840,163840,27838432,16.9912304688
1,384,3065,227266,7.4148776509
1,1152,9209,659760,7.1642957976
1,10240,81913,5883340,7.1824252561
1,15360,122873,8840572,7.1948857764
1,40960,327673,23564060,7.1913340434
1,81920,655353,47178640,7.1989660534
1,163840,1310713,94272082,7.1924274803
2,384,1533,109642,7.1521200261
2,1152,4605,330686,7.1810206298
2,10240,40957,2947930,7.1976218961
2,15360,61437,4424410,7.2015397887
2,40960,163837,11806984,7.2065430886
2,81920,327677,23628840,7.2110157259
2,163840,655357,47243456,7.2088122962
4,384,767,54732,7.1358539765
4,1152,2303,165852,7.2015631785
4,10240,20479,1474752,7.2012891254
4,15360,30719,2218314,7.2213092874
4,40960,81919,5942532,7.2541559345
4,81920,163839,11875452,7.2482449234
4,163840,327679,23710866,7.2360041382
8,384,384,27358,7.1244791667
8,1152,1152,83288,7.2298611111
8,10240,10240,741302,7.2392773438
8,15360,15360,1119094,7.2857682292
8,40960,40960,3041498,7.4255322266
8,81920,81920,5992532,7.3151025391
8,163840,163840,11960358,7.3000231934
32,384,384,27772,7.2322916667
32,1152,1152,83748,7.2697916667
32,10240,10240,821962,8.0269726563
32,15360,15360,1248502,8.1282682292
32,40960,40960,3204492,7.8234667969
32,81920,81920,8182438,9.9883276367
32,163840,163840,27757000,16.9415283203
1,384,3065,219308,7.1552365416
1,1152,9209,671542,7.2922358562
1,10240,81913,5881020,7.1795929828
1,15360,122873,8826396,7.1833486608
1,40960,327673,23584188,7.1974767527
1,81920,655353,47152382,7.1949593578
1,163840,1310713,94330930,7.1969172504
2,384,1533,109618,7.1505544684
2,1152,4605,330656,7.1803691640
2,10240,40957,2949168,7.2006445785
2,15360,61437,4423352,7.1998176994
2,40960,163837,11817130,7.2127358289
2,81920,327677,23616740,7.2073230651
2,163840,655357,47244460,7.2089654951
4,384,767,54784,7.1426336375
4,1152,2303,165830,7.2006079027
4,10240,20479,1481778,7.2355974413
4,15360,30719,2219592,7.2254695791
4,40960,81919,5971042,7.2889586055
4,81920,163839,11872736,7.2465871984
4,163840,327679,23721542,7.2392622048
8,384,384,27314,7.1130208333
8,1152,1152,83330,7.2335069444
8,10240,10240,741040,7.2367187500
8,15360,15360,1114940,7.2587239583
8,40960,40960,3018020,7.3682128906
8,81920,81920,6001996,7.3266552734
8,163840,163840,11985006,7.3150671387
32,384,384,36760,9.5729166667
32,1152,1152,83808,7.2750000000
32,10240,10240,834884,8.1531640625
32,15360,15360,1247916,8.1244531250
32,40960,40960,3354976,8.1908593750
32,81920,81920,8599564,10.4975146484
32,163840,163840,27662034,16.8835656738
1,384,3065,219334,7.1560848287
1,1152,9209,670432,7.2801824302
1,10240,81913,5888858,7.1891616715
1,15360,122873,8822752,7.1803829971
1,40960,327673,23569346,7.1929472370
1,81920,655353,47192258,7.2010440175
1,163840,1310713,94271558,7.1923875021
2,384,1533,109574,7.1476842792
2,1152,4605,330756,7.1825407166
2,10240,40957,2950356,7.2035451815
2,15360,61437,4425820,7.2038348227
2,40960,163837,11830052,7.2206229362
2,81920,327677,23646380,7.2163685581
2,163840,655357,47253034,7.2102737897
4,384,767,54758,7.1392438070
4,1152,2303,165776,7.1982631350
4,10240,20479,1481332,7.2334196006
4,15360,30719,2219988,7.2267586836
