D,L,R,Clocks,ClocksPerAccess
32,40960,40960,3325660,8.1192871094
32,81920,81920,8821756,10.7687451172
32,163840,163840,28084380,17.1413452148
1,384,3065,226316,7.3838825449
1,1152,9209,652470,7.0851341079
1,10240,81913,5816978,7.1014100326
1,15360,122873,8734814,7.1088147925
1,40960,327673,23334550,7.1212916536
1,81920,655353,46692506,7.1247870995
1,163840,1310713,93363840,7.1231337448
2,384,1533,108816,7.0982387476
2,1152,4605,327482,7.1114440825
2,10240,40957,2912710,7.1116292697
2,15360,61437,4376686,7.1238602145
2,40960,163837,11693686,7.1373902110
2,81920,327677,23358970,7.1286571838
2,163840,655357,46760134,7.1350628741
4,384,767,54552,7.1123859192
4,1152,2303,164210,7.1302648719
4,10240,20479,1462656,7.1422237414
4,15360,30719,2199634,7.1605000163
4,40960,81919,5884438,7.1832395415
4,81920,163839,11737840,7.1642527115
4,163840,327679,23518654,7.1773455119
8,384,384,27518,7.1661458333
8,1152,1152,83164,7.2190972222
8,10240,10240,736722,7.1945507813
8,15360,15360,1125700,7.3287760417
8,40960,40960,3031872,7.4020312500
8,81920,81920,6024556,7.3541943359
8,163840,163840,12109252,7.3909008789
32,384,384,28088,7.3145833333
32,1152,1152,83380,7.2378472222
32,10240,10240,850546,8.3061132812
32,15360,15360,1422232,9.2593229167
32,40960,40960,3438896,8.3957421875
32,81920,81920,8835654,10.7857104492
32,163840,163840,27932878,17.0488757324
1,384,3065,217192,7.0861990212
1,1152,9209,652698,7.0876099468
1,10240,81913,5811066,7.0941926190
1,15360,122873,8736670,7.1103252952
1,40960,327673,23351882,7.1265810732
1,81920,655353,46693668,7.1249644085
1,163840,1310713,93342108,7.1214757159
2,384,1533,108872,7.1018917156
2,1152,4605,326870,7.0981541802
2,10240,40957,2916636,7.1212149327
2,15360,61437,4375864,7.1225222586
2,40960,163837,11693360,7.1371912327
2,81920,327677,23363040,7.1298992606
2,163840,655357,46731494,7.1306927369
4,384,767,54660,7.1264667536
4,1152,2303,164388,7.1379939210
4,10240,20479,1463248,7.1451145075
4,15360,30719,2199184,7.1590351248
4,40960,81919,5924416,7.2320414068
4,81920,163839,11737214,7.1638706291
4,163840,327679,23499240,7.1714208112
8,384,384,27516,7.1656250000
8,1152,1152,83028,7.2072916667
8,10240,10240,745912,7.2842968750
8,15360,15360,1118434,7.2814713542
8,40960,40960,3009558,7.3475537109
8,81920,81920,6017346,7.3453930664
8,163840,163840,12024512,7.3391796875
32,384,384,28024,7.2979166667
32,1152,1152,83266,7.2279513889
32,10240,10240,937518,9.1554492188
32,15360,15360,1345892,8.7623177083
32,40960,40960,3738398,9.1269482422
32,81920,81920,10384420,12.6762939453
32,163840,163840,27947800,17.0579833984
1,384,3065,218126,7.1166721044
1,1152,9209,652956,7.0904115539
1,10240,81913,5816714,7.1010877394
1,15360,122873,8740450,7.1134016423
1,40960,327673,23329290,7.1196863947
1,81920,655353,46724488,7.1296672175
1,163840,1310713,93345960,7.1217696017
2,384,1533,108868,7.1016307893
2,1152,4605,326888,7.0985450597
